Crude_Blend,API_Gravity,Inlet_BSW,Inlet_Salt_PTB,Target_Risk_Class
Arab Light,37.18,1.249,13.25,Low
Basrah Heavy,26.4,1.716,17.11,Medium
Arab Light,32.16,1.115,26.36,Low
Basrah Heavy,29.35,1.737,37.0,Medium
Arab Light,36.14,1.325,10.27,Low
Basrah Heavy,24.28,1.93,22.64,High
Basrah Heavy,26.35,1.818,31.73,Medium
Basrah Heavy,23.36,2.5,23.79,High
Arab Light,29.98,1.622,26.52,Low
Basrah Heavy,23.26,1.264,16.75,High
Bonny Light,37.87,1.15,40.17,Medium
Arab Light,32.38,1.043,12.55,Low
Basrah Heavy,29.1,1.314,25.6,Low
Arab Light,39.53,0.656,10.3,Low
Basrah Heavy,23.65,2.313,28.45,High
Bonny Light,42.88,0.77,10.0,Low
Arab Light,35.45,0.901,20.56,Low
Ural,28.49,2.453,38.85,High
Basrah Heavy,26.82,1.531,11.49,Medium
Arab Light,37.51,1.244,12.88,Medium
Arab Light,35.33,0.965,25.64,Medium
Bonny Light,42.28,0.384,10.0,Low
Arab Light,35.29,1.77,21.82,Medium
Arab Light,36.87,0.653,10.0,Low
Basrah Heavy,24.04,1.29,29.82,Medium
Basrah Heavy,22.78,1.097,10.0,Medium
Arab Light,34.4,1.496,19.54,Low
Arab Light,32.91,1.786,18.46,Medium
Basrah Heavy,28.04,1.558,27.99,Low
Ural,32.05,0.787,43.87,Low
Bonny Light,40.58,0.564,10.0,Low
Basrah Heavy,21.5,1.606,16.58,High
Arab Light,32.77,0.742,11.37,Medium
Basrah Heavy,22.12,1.471,11.68,High
Ural,36.0,1.024,16.41,Low
Basrah Heavy,29.68,1.021,24.52,Medium
Ural,27.77,1.533,22.83,Medium
Ural,32.52,0.58,18.06,Low
Ural,31.24,2.092,20.07,High
Basrah Heavy,21.53,1.555,26.44,High
Bonny Light,44.89,0.392,12.71,Low
Basrah Heavy,23.12,1.796,14.96,High
Basrah Heavy,24.79,1.813,23.45,High
Arab Light,35.59,0.595,10.0,Low
Arab Light,29.59,0.972,54.84,Low
Ural,29.67,0.975,24.9,Medium
Ural,33.98,0.996,17.51,Low
Basrah Heavy,22.59,2.5,41.37,High
Bonny Light,42.2,0.537,18.05,Low
Basrah Heavy,28.64,0.969,10.0,Medium
Arab Light,35.28,0.932,33.25,Low
Basrah Heavy,25.24,1.503,11.56,Medium
Bonny Light,42.2,0.408,27.45,Low
Basrah Heavy,23.67,1.638,23.64,High
Basrah Heavy,27.55,1.827,23.1,Medium
Arab Light,37.15,0.61,10.0,Low
Bonny Light,42.67,0.382,13.29,Low
Bonny Light,40.95,0.763,19.38,Low
Ural,29.56,1.496,24.76,Medium
Bonny Light,40.51,0.891,17.21,Low
Bonny Light,39.15,1.085,15.85,Low
Arab Light,32.45,0.674,19.84,Medium
Basrah Heavy,25.68,1.679,19.1,High
Ural,33.99,0.826,14.35,Low
Ural,35.33,0.592,16.36,Low
Arab Light,35.8,0.66,13.61,Low
Basrah Heavy,26.91,1.295,10.08,Low
Ural,35.64,0.795,16.47,Low
Basrah Heavy,24.87,1.269,20.57,High
Bonny Light,37.0,0.79,15.74,Low
Basrah Heavy,21.1,2.5,27.66,High
Basrah Heavy,21.72,0.968,13.78,Medium
Ural,33.76,1.49,20.86,Medium
Basrah Heavy,23.28,1.661,16.56,Medium
Basrah Heavy,24.36,1.375,33.45,Medium
Arab Light,34.6,0.467,15.46,Low
Bonny Light,40.27,0.764,17.07,Low
Basrah Heavy,23.16,1.014,10.0,Medium
Basrah Heavy,26.46,1.961,34.68,High
Ural,33.18,1.91,17.73,Low
Bonny Light,41.71,0.314,10.0,Low
Arab Light,32.74,1.605,17.4,Medium
Basrah Heavy,25.66,1.533,24.03,Medium
Basrah Heavy,21.51,0.857,10.0,Low
Basrah Heavy,31.9,0.735,21.26,Low
Basrah Heavy,23.84,1.741,25.5,Medium
Ural,31.29,1.334,14.81,Low
Basrah Heavy,25.2,0.891,10.0,Medium
Arab Light,34.99,0.933,18.44,Low
Ural,31.49,1.529,10.62,Medium
Arab Light,36.0,1.217,13.34,Low
Basrah Heavy,26.9,1.246,17.7,Medium
Ural,31.15,1.362,18.13,Low
Ural,31.61,1.657,17.61,Medium
Ural,33.37,1.383,26.05,Medium
Basrah Heavy,24.79,2.151,20.05,High
Basrah Heavy,29.21,1.344,14.98,Medium
Bonny Light,38.77,0.658,14.43,Low
Arab Light,34.3,1.063,17.95,Low
Basrah Heavy,25.21,1.185,10.51,Medium
Arab Light,35.27,1.335,19.84,Medium
Ural,29.4,0.749,10.78,Low
Bonny Light,42.68,0.361,10.0,Low
Basrah Heavy,22.23,1.717,24.81,High
Bonny Light,36.71,0.958,10.0,Low
Basrah Heavy,24.97,1.968,22.72,Medium
Arab Light,37.76,1.255,18.18,Low
Arab Light,31.79,1.158,20.25,Low
Basrah Heavy,27.28,1.101,12.66,Medium
Basrah Heavy,23.2,1.594,25.69,High
Arab Light,35.63,0.788,21.44,Low
Bonny Light,40.62,0.675,20.24,Low
Arab Light,34.84,0.642,10.0,Low
Bonny Light,42.21,0.433,17.84,Low
Ural,31.8,1.988,31.31,Medium
Arab Light,35.44,0.952,33.05,Low
Ural,32.15,0.764,10.0,Low
Basrah Heavy,30.95,1.048,29.29,Low
Basrah Heavy,25.17,0.71,10.0,Low
Ural,28.77,1.293,25.95,Low
Ural,30.29,2.177,35.11,Low
Basrah Heavy,24.66,1.045,23.44,High
Arab Light,32.38,0.654,10.0,Low
Arab Light,36.28,0.668,25.44,Low
Bonny Light,41.37,0.71,41.55,Low
Arab Light,34.0,1.79,16.21,Medium
Arab Light,33.79,1.169,15.66,Low
Arab Light,33.87,0.634,10.0,Low
Arab Light,35.22,0.901,20.53,Low
Ural,29.7,2.358,24.43,Medium
Bonny Light,40.1,0.534,17.93,Low
Arab Light,37.34,0.811,13.63,Low
Basrah Heavy,20.14,2.037,26.15,Medium
Basrah Heavy,23.98,0.947,15.92,Medium
Ural,31.99,1.58,11.02,Medium
Ural,34.45,1.29,19.53,Low
Basrah Heavy,26.44,0.731,10.0,Medium
Basrah Heavy,26.83,0.907,10.0,Medium
Arab Light,36.21,0.601,25.17,Low
Basrah Heavy,23.69,2.138,30.65,High
Ural,32.56,0.829,18.95,Low
Basrah Heavy,22.77,1.961,25.25,High
Basrah Heavy,25.8,1.417,42.05,High
Bonny Light,41.97,0.488,12.55,Low
Basrah Heavy,21.37,2.134,25.13,High
Basrah Heavy,28.11,1.499,19.62,Medium
Basrah Heavy,20.75,1.821,32.89,High
Basrah Heavy,28.54,1.497,20.82,Medium
Basrah Heavy,23.21,1.808,25.59,High
Basrah Heavy,25.98,1.393,30.31,Medium
Basrah Heavy,21.76,1.521,25.02,High
Basrah Heavy,21.49,2.5,41.44,High
Arab Light,36.56,0.704,21.72,Low
Ural,32.76,1.719,17.46,High
Arab Light,35.88,0.681,10.0,Low
Basrah Heavy,24.14,2.146,39.73,High
Arab Light,34.71,1.756,30.07,Medium
Bonny Light,39.11,0.585,18.03,Low
Bonny Light,42.45,0.353,13.68,Low
Basrah Heavy,26.87,1.241,18.55,Medium
Basrah Heavy,28.01,1.36,14.78,Medium
Basrah Heavy,24.44,1.788,18.04,High
Basrah Heavy,23.22,1.652,14.41,High
Arab Light,30.15,1.064,10.0,Low
Arab Light,34.74,1.86,17.62,Medium
Basrah Heavy,22.11,1.628,19.1,High
Arab Light,35.74,0.704,28.58,Low
Arab Light,39.44,0.853,10.0,Low
Basrah Heavy,23.78,2.205,27.54,High
Ural,33.11,1.709,37.49,Medium
Basrah Heavy,20.36,2.5,38.26,Medium
Bonny Light,41.88,0.544,12.73,Low
Basrah Heavy,23.31,1.509,16.18,High
Ural,27.07,0.734,10.0,Low
Bonny Light,40.2,0.424,12.68,Low
Bonny Light,39.61,0.674,19.67,Low
Ural,33.71,0.664,10.0,Medium
Ural,28.1,0.783,25.22,Medium
Arab Light,37.5,0.78,13.91,Low
Ural,28.44,1.76,25.41,Medium
Basrah Heavy,28.23,1.243,18.74,Medium
Arab Light,29.69,1.727,32.66,Medium
Arab Light,31.05,1.457,30.86,Medium
Bonny Light,40.85,0.819,19.43,Low
Arab Light,33.87,2.127,23.89,Medium
Arab Light,38.11,1.805,23.14,Medium
Arab Light,31.49,1.481,43.22,Medium
Basrah Heavy,24.93,1.333,35.46,High
Basrah Heavy,25.97,1.532,21.56,Medium
Arab Light,34.93,1.606,14.36,High
Arab Light,34.28,0.708,22.41,Low
Basrah Heavy,25.34,2.5,25.63,High
Arab Light,35.75,0.823,28.79,Low
Arab Light,35.2,0.984,11.99,Low
Basrah Heavy,24.46,1.203,15.11,High
Arab Light,32.19,0.693,10.0,Low
Ural,32.39,0.987,35.64,Low
Basrah Heavy,22.01,2.5,22.48,High
Bonny Light,43.61,0.29,17.88,Low
Bonny Light,39.92,1.067,15.93,Low
Arab Light,33.22,0.847,12.25,Low
Basrah Heavy,23.21,1.153,14.42,High
Arab Light,35.99,0.938,29.38,Low
Ural,36.6,1.039,50.63,Low
Ural,31.31,1.237,30.26,Low
Ural,31.92,1.179,10.0,Low
Arab Light,34.16,1.71,29.86,Low
Arab Light,36.1,0.88,14.4,Low
Basrah Heavy,26.53,1.241,17.88,Medium
Ural,33.91,0.667,10.0,Low
Basrah Heavy,24.4,2.498,30.82,High
Ural,31.07,1.011,16.86,Low
Bonny Light,40.68,0.498,16.66,Medium
Basrah Heavy,21.65,2.5,27.5,High
Arab Light,34.42,1.968,33.01,Medium
Basrah Heavy,25.7,1.656,22.86,High
Ural,29.21,1.232,19.47,Medium
Basrah Heavy,25.91,1.5,20.84,Medium
Bonny Light,35.59,0.754,21.91,Low
Basrah Heavy,26.89,1.272,16.19,Medium
Bonny Light,43.06,0.359,15.44,Low
Ural,28.78,1.815,24.58,Medium
Arab Light,38.17,0.697,27.75,Low
Ural,32.83,1.707,20.22,Medium
Ural,36.35,0.802,23.72,Low
Bonny Light,41.89,0.423,14.32,Low
Basrah Heavy,29.13,2.029,37.12,Medium
Arab Light,34.61,0.954,17.07,Low
Basrah Heavy,23.59,1.58,18.51,High
Arab Light,38.0,0.739,11.47,Low
Basrah Heavy,24.42,2.5,31.03,High
Arab Light,32.49,1.205,18.56,Low
Arab Light,33.98,1.528,18.49,Medium
Arab Light,34.59,0.873,17.63,Low
Arab Light,33.84,1.458,10.0,Low
Ural,36.87,0.872,14.41,Low
Ural,34.82,1.271,19.36,Low
Arab Light,34.81,1.31,10.0,Low
Arab Light,37.87,0.531,10.0,Low
Bonny Light,42.62,0.445,10.0,Low
Basrah Heavy,21.1,2.5,28.86,High
Basrah Heavy,24.03,2.4,26.57,High
Basrah Heavy,30.31,1.895,22.53,Medium
Ural,28.66,1.377,10.26,Medium
Arab Light,33.78,1.714,32.15,Low
Ural,32.08,0.881,28.57,Low
Ural,29.78,0.744,10.0,Low
Basrah Heavy,26.38,1.337,17.43,Medium
Bonny Light,43.12,0.612,11.62,Low
Ural,34.37,0.658,17.12,Low
Basrah Heavy,29.54,0.76,11.63,Low
Arab Light,30.96,0.646,22.31,Low
Basrah Heavy,21.45,2.314,20.22,High
Basrah Heavy,21.34,1.082,23.21,Medium
Basrah Heavy,27.09,1.73,25.93,High
Bonny Light,43.16,0.356,10.0,Low
Arab Light,35.41,0.684,11.64,Low
Arab Light,32.79,0.75,10.0,Low
Ural,31.46,1.234,38.39,High
Arab Light,34.61,0.727,13.24,Low
Bonny Light,40.12,0.593,10.05,Low
Ural,31.21,1.34,10.0,Medium
Arab Light,36.05,1.059,19.79,Low
Arab Light,37.45,1.061,14.69,Low
Bonny Light,40.37,0.613,19.09,Low
Ural,34.2,0.674,29.36,Low
Bonny Light,38.69,0.807,22.18,Low
Basrah Heavy,27.51,1.763,16.31,Medium
Bonny Light,43.59,0.349,10.0,Low
Arab Light,35.94,0.779,10.0,Low
Basrah Heavy,27.76,2.5,24.17,High
Arab Light,34.44,0.609,22.63,Low
Ural,32.24,1.305,14.95,Medium
Basrah Heavy,30.76,1.72,28.49,Medium
Arab Light,34.02,0.874,12.1,Low
Ural,35.56,0.835,22.2,Low
Basrah Heavy,24.83,1.366,13.05,High
Arab Light,34.85,0.931,10.0,Low
Arab Light,37.36,1.056,37.04,Low
Basrah Heavy,23.24,1.562,15.1,High
Bonny Light,38.41,2.09,34.96,Medium
Ural,32.02,0.949,20.41,Low
Basrah Heavy,24.09,2.5,23.93,High
Bonny Light,44.87,0.351,10.0,Low
Bonny Light,40.29,0.606,11.21,Low
Basrah Heavy,30.77,1.995,34.43,Low
Ural,35.23,0.518,10.0,Low
Basrah Heavy,27.9,1.597,27.42,Medium
Bonny Light,38.32,0.552,15.81,Low
Ural,32.8,0.912,19.23,Medium
Ural,32.47,0.915,36.69,Medium
Basrah Heavy,29.58,0.905,20.82,Low
Bonny Light,43.33,0.218,12.92,Medium
Basrah Heavy,21.68,2.032,14.38,High
Basrah Heavy,28.49,1.308,31.86,Medium
Basrah Heavy,22.67,1.54,28.31,Medium
Ural,37.44,0.999,19.5,Low
Basrah Heavy,27.43,1.647,19.89,Medium
Bonny Light,41.41,0.466,10.0,Low
Ural,28.23,2.5,33.82,High
Basrah Heavy,25.89,2.148,26.51,Medium
Basrah Heavy,21.64,2.5,46.81,High
Basrah Heavy,26.6,1.262,24.69,Medium
Arab Light,38.24,0.78,16.04,Low
Ural,29.52,0.825,40.04,Medium
Basrah Heavy,23.78,1.46,20.77,High
Ural,31.03,0.958,34.23,Medium
Basrah Heavy,23.2,2.5,17.1,High
Ural,33.35,0.806,43.85,Low
Bonny Light,42.01,0.436,21.69,Low
Ural,32.65,0.645,10.0,Low
Ural,26.93,1.733,43.83,High
Ural,30.5,0.883,10.0,Low
Basrah Heavy,23.43,2.292,19.47,High
Basrah Heavy,22.91,0.906,20.28,Medium
Basrah Heavy,26.09,1.429,32.89,Medium
Arab Light,38.97,0.35,13.92,Low
Ural,32.29,0.922,10.0,Low
Arab Light,35.0,0.834,10.4,Low
Bonny Light,41.03,0.435,10.0,Low
Basrah Heavy,26.06,1.254,22.79,Medium
Ural,34.56,1.334,18.83,Medium
Basrah Heavy,24.6,2.5,43.08,High
Basrah Heavy,22.74,1.921,35.76,High
Ural,34.16,0.722,10.0,Medium
Bonny Light,44.47,0.323,16.69,Low
Arab Light,31.04,1.038,10.0,Medium
Basrah Heavy,23.57,2.256,41.56,Low
Arab Light,32.81,1.174,24.14,Medium
Basrah Heavy,27.38,0.811,14.41,Low
Bonny Light,39.25,0.954,13.86,Low
Ural,29.73,1.766,26.63,Medium
Basrah Heavy,23.36,2.5,39.99,High
Basrah Heavy,25.4,1.282,22.14,Medium
Basrah Heavy,24.34,1.782,22.52,Medium
Bonny Light,35.63,0.582,10.0,Low
Arab Light,35.99,0.843,14.3,Low
Ural,28.49,1.538,32.44,Medium
Arab Light,36.12,0.68,21.6,Low
Arab Light,31.2,1.313,32.34,Medium
Basrah Heavy,22.08,1.854,17.11,High
Bonny Light,42.31,0.388,10.0,Low
Basrah Heavy,24.12,2.5,35.61,High
Arab Light,38.59,0.638,10.0,Low
Ural,33.73,1.051,30.3,Low
Arab Light,33.95,0.592,20.17,Low
Bonny Light,42.0,0.569,15.74,Low
Basrah Heavy,22.52,1.456,13.2,Medium
Arab Light,34.37,1.345,19.88,Low
Arab Light,36.1,0.538,11.68,Low
Arab Light,34.69,1.095,20.68,Low
Basrah Heavy,24.93,0.73,32.2,Medium
Basrah Heavy,25.54,1.894,17.53,High
Basrah Heavy,26.85,1.357,17.48,Medium
Basrah Heavy,27.35,1.623,21.41,Medium
Arab Light,33.55,0.822,29.41,Medium
Arab Light,30.84,0.852,16.52,Medium
Arab Light,36.3,0.72,20.22,Low
Arab Light,33.87,1.063,32.37,Low
Arab Light,35.06,1.123,20.5,Low
Basrah Heavy,22.1,1.943,22.42,High
Arab Light,33.2,0.747,26.98,Low
Basrah Heavy,23.45,2.5,44.75,High
Basrah Heavy,21.19,2.028,30.35,High
Arab Light,32.52,0.869,11.25,Low
Arab Light,34.4,1.114,14.87,Low
Basrah Heavy,26.64,1.593,37.73,Medium
Arab Light,37.61,0.71,21.15,Low
Arab Light,36.62,0.738,12.8,Low
Ural,30.48,1.709,11.81,Medium
Arab Light,36.44,1.519,28.12,Medium
Ural,32.45,0.532,17.83,Low
Basrah Heavy,24.28,2.473,35.7,High
Ural,27.7,1.398,14.65,Medium
Arab Light,36.48,0.899,13.78,Medium
Arab Light,33.68,1.615,32.19,Low
Arab Light,37.64,0.297,10.0,Low
Arab Light,36.67,1.084,15.25,Low
Arab Light,29.88,1.957,15.07,High
Ural,36.91,0.628,10.0,Low
Bonny Light,39.62,0.384,20.27,Low
Bonny Light,44.63,0.543,11.94,Low
Arab Light,37.75,0.403,10.0,Low
Arab Light,34.63,1.095,21.86,Low
Ural,28.97,1.87,19.94,High
Basrah Heavy,24.78,1.81,22.34,High
Ural,30.73,1.456,22.33,Medium
Arab Light,31.23,1.06,30.46,Low
Basrah Heavy,25.1,1.828,25.43,High
Basrah Heavy,26.3,1.154,15.37,High
Ural,33.06,0.854,19.27,Low
Basrah Heavy,24.33,1.624,26.38,High
Basrah Heavy,27.84,0.805,11.84,Low
Basrah Heavy,25.32,1.886,23.27,High
Basrah Heavy,23.71,0.69,14.03,Low
Basrah Heavy,22.44,1.959,35.35,High
Ural,35.06,1.077,10.0,Low
Basrah Heavy,24.75,1.194,21.66,High
Ural,30.81,0.772,22.66,Low
Bonny Light,40.72,0.482,23.13,Low
Arab Light,28.83,1.647,12.35,Medium
Basrah Heavy,28.4,1.517,11.23,Medium
Arab Light,30.53,0.818,11.03,Low
Basrah Heavy,24.04,1.684,28.5,Medium
Arab Light,34.74,1.029,26.07,Low
Bonny Light,37.05,0.854,10.0,High
Bonny Light,39.31,0.457,13.94,Low
Ural,31.4,1.217,26.98,Medium
Basrah Heavy,25.83,2.08,22.67,High
Ural,32.42,1.311,22.02,Low
Ural,30.71,1.381,11.93,Medium
Arab Light,33.43,1.816,28.58,Medium
Arab Light,38.79,0.72,13.06,Low
Basrah Heavy,20.0,1.401,18.04,Medium
Basrah Heavy,24.6,1.183,20.55,Medium
Arab Light,36.54,0.876,10.0,Low
Basrah Heavy,23.03,1.02,12.9,Medium
Basrah Heavy,31.04,1.054,25.65,Medium
Ural,32.74,1.254,10.0,Low
Bonny Light,35.34,1.356,10.0,Low
Arab Light,35.44,0.521,10.0,Low
Ural,29.49,1.319,19.32,Low
Bonny Light,42.98,0.402,13.24,High
Basrah Heavy,21.81,1.789,41.4,High
Arab Light,34.77,0.984,18.66,Low
Arab Light,31.06,1.161,21.3,Low
Basrah Heavy,28.0,2.229,37.19,High
Ural,34.15,1.509,15.17,Medium
Arab Light,35.05,1.945,28.18,Medium
Arab Light,34.67,0.939,22.18,Low
Basrah Heavy,21.15,1.566,26.02,High
Basrah Heavy,27.05,1.019,18.67,Medium
Bonny Light,41.28,0.434,12.95,Low
Basrah Heavy,26.2,1.906,16.89,High
Basrah Heavy,23.42,2.253,24.46,High
Basrah Heavy,25.64,1.926,38.9,High
Arab Light,35.48,0.706,10.17,Low
Arab Light,37.89,0.585,13.52,High
Arab Light,32.92,2.092,25.72,Medium
Basrah Heavy,21.34,1.342,23.17,Medium
Basrah Heavy,24.2,2.5,29.0,High
Ural,30.13,1.421,18.81,Low
Arab Light,31.62,0.881,23.84,Medium
Arab Light,29.41,0.845,17.45,Low
Ural,33.93,0.778,16.0,Low
Ural,28.57,1.543,17.47,Medium
Basrah Heavy,21.27,1.309,16.89,Medium
Arab Light,36.14,1.463,23.05,Medium
Arab Light,34.64,0.879,24.94,Low
Basrah Heavy,24.11,2.068,38.18,High
Ural,37.45,0.95,19.42,Low
Arab Light,37.52,1.342,40.95,Low
Ural,32.15,0.947,14.43,Low
Bonny Light,40.77,0.574,11.21,Low
Arab Light,37.73,0.458,23.92,Low
Bonny Light,45.0,0.293,12.04,Low
Arab Light,35.24,1.351,16.1,High
Bonny Light,36.67,0.88,15.85,Low
Basrah Heavy,23.22,2.5,22.34,High
Arab Light,36.61,0.982,15.55,Low
Arab Light,32.95,0.871,10.0,Low
Basrah Heavy,27.32,1.657,15.62,Medium
Arab Light,37.09,0.472,14.43,Low
Bonny Light,37.21,0.59,10.0,Low
Arab Light,30.84,0.776,10.0,Low
Basrah Heavy,23.6,1.66,17.12,High
Basrah Heavy,21.58,1.743,20.2,High
Basrah Heavy,23.01,2.5,34.25,High
Basrah Heavy,29.67,1.22,15.65,Low
Bonny Light,41.88,0.339,26.51,Low
Arab Light,38.74,1.178,13.97,Low
Basrah Heavy,22.8,0.607,10.0,Low
Arab Light,40.24,0.595,10.0,Low
Basrah Heavy,25.25,1.668,24.54,High
Basrah Heavy,28.57,1.328,13.0,Medium
Ural,32.62,1.279,14.63,Low
Arab Light,35.0,0.958,27.78,Low
Bonny Light,41.29,0.619,29.17,Low
Arab Light,34.58,0.768,10.0,Low
Arab Light,32.13,0.663,12.33,Low
Ural,28.51,1.315,21.38,Low
Bonny Light,36.55,0.574,21.8,High
Ural,28.39,1.042,14.1,Medium
Bonny Light,44.66,0.456,13.89,Low
Ural,34.5,1.645,32.51,Low
Bonny Light,40.67,0.834,15.69,Low
Basrah Heavy,31.4,1.611,10.0,Medium
Ural,29.14,1.324,17.85,Medium
Arab Light,35.93,1.23,13.2,Low
Arab Light,36.24,0.954,11.36,Low
Ural,35.45,1.766,18.41,Medium
Bonny Light,42.34,0.328,10.0,Low
Bonny Light,38.5,0.883,30.09,Low
Basrah Heavy,28.19,0.872,25.02,Medium
Ural,30.37,1.544,37.12,Medium
Ural,29.21,0.708,38.47,Medium
Basrah Heavy,30.53,0.79,16.53,Low
Basrah Heavy,25.34,0.983,12.97,Medium
Basrah Heavy,30.0,1.356,23.71,Low
Ural,35.92,0.977,20.91,Low
Arab Light,34.83,2.199,22.91,Low
Bonny Light,42.9,0.403,10.0,Low
Arab Light,37.72,0.98,16.02,Low
Bonny Light,42.4,0.474,10.0,High
Arab Light,37.89,0.938,20.68,Low
Ural,34.01,1.036,10.0,Low
Basrah Heavy,22.55,2.5,35.65,Medium
Arab Light,34.77,0.648,26.77,Low
Ural,33.11,0.443,40.86,Low
Bonny Light,38.84,0.783,30.62,Low
Ural,33.35,0.546,40.86,Low
Basrah Heavy,29.4,2.026,29.91,Medium
Arab Light,34.56,0.784,10.0,Low
Basrah Heavy,21.74,1.231,19.69,Medium
Basrah Heavy,30.91,2.5,49.03,High
Ural,30.19,1.222,33.42,Medium
